,RMSE,MAE,R2
Baseline (Mean),1.1448563543099792,0.9060685490007149,-0.00021908714592466794
AdaBoost,0.7507652638609447,0.5868181985810605,0.5698682695406753
Neural Network,0.5207624607914471,0.3519480278720717,0.7930466403445929
